"","sID","npID","nzsegment.x","Deposited.sediment.Class.x","productive_class.x","Suspended.Sediment.Class.x","min_year","N.values","N.Leftcensored","N.Rightcensored","DL","AL","Median","Mean","Q95","G540","G260","AnnMax","Median_Summer","p80","p83","p92","CI_G260_lower","CI_G260_upper","CI_G540_lower","CI_G540_upper","CI_Median_lower","CI_Median_upper","CI_Median_Summer_lower","CI_Median_Summer_upper","CI_95_lower","CI_95_upper","CI_80_lower","CI_80_upper","CI_83_lower","CI_83_upper","CI_92_lower","CI_92_upper","AnnMax_lower","AnnMax_upper","ImputedLower","ImputedUpper","nmonth","nBimonth","nqtr","No.years","FilterOK","NZReachID","nzsegment.y","MatchForPointSources","Overall","Deposited.sediment.Class.y","Suspended.Sediment.Class.y","productive_class.y","FlowSite","Site.Order.in.catchment.(Report)","NZTM.X","NZTM.Y","Status","CatName","Freshwater.Management.Unit.FMU","Water.management.subzone.One.Plan","Site.Type","Attr","NOF_Grade","yearz"
"1478","Ongarue at Cherry Grove","ECOLI",7150081,"2","N",1,2017,53,0,1,NA,9700,173,743.91769089148,3233,26.4150943396226,39.622641509434,10815.6376172485,155,800.2,969.71,2724.8,29.3356718576028,50.9176398993059,17.7770455362519,37.3441175476314,122.43866,267.40149,120.74103,244.92047,1304.42846,7385.4144,393.5349,1301.55742,529.09242,2405.87391,1064.77054,3707.95389,10815.6376172485,10815.6376172485,"No censored - no imputation required","Imputed",17,10,9,4,TRUE,7005207,7150081,7150081,NA,"2",1,"N","Ongarue at Taringamotu","Not Reported",1795535,5692904,"RepSite","Whanganui","Whanganui","Lower Ongarue (Whai_2g)","a","NOF.ECOLI.G540","D","2015 - 2019"
"1479","Ongarue at Cherry Grove","ECOLI",7150081,"2","N",1,2017,53,0,1,NA,9700,173,743.91769089148,3233,26.4150943396226,39.622641509434,10815.6376172485,155,800.2,969.71,2724.8,29.3356718576028,50.9176398993059,17.7770455362519,37.3441175476314,122.43866,267.40149,120.74103,244.92047,1304.42846,7385.4144,393.5349,1301.55742,529.09242,2405.87391,1064.77054,3707.95389,10815.6376172485,10815.6376172485,"No censored - no imputation required","Imputed",17,10,9,4,TRUE,7005207,7150081,7150081,NA,"2",1,"N","Ongarue at Taringamotu","Not Reported",1795535,5692904,"RepSite","Whanganui","Whanganui","Lower Ongarue (Whai_2g)","a","NOF.ECOLI.Med","D","2015 - 2019"
"1480","Ongarue at Cherry Grove","ECOLI",7150081,"2","N",1,2017,53,0,1,NA,9700,173,743.91769089148,3233,26.4150943396226,39.622641509434,10815.6376172485,155,800.2,969.71,2724.8,29.3356718576028,50.9176398993059,17.7770455362519,37.3441175476314,122.43866,267.40149,120.74103,244.92047,1304.42846,7385.4144,393.5349,1301.55742,529.09242,2405.87391,1064.77054,3707.95389,10815.6376172485,10815.6376172485,"No censored - no imputation required","Imputed",17,10,9,4,TRUE,7005207,7150081,7150081,NA,"2",1,"N","Ongarue at Taringamotu","Not Reported",1795535,5692904,"RepSite","Whanganui","Whanganui","Lower Ongarue (Whai_2g)","a","NOF.ECOLI.p95","E","2015 - 2019"
"1481","Ongarue at Cherry Grove","ECOLI",7150081,"2","N",1,2017,53,0,1,NA,9700,173,743.91769089148,3233,26.4150943396226,39.622641509434,10815.6376172485,155,800.2,969.71,2724.8,29.3356718576028,50.9176398993059,17.7770455362519,37.3441175476314,122.43866,267.40149,120.74103,244.92047,1304.42846,7385.4144,393.5349,1301.55742,529.09242,2405.87391,1064.77054,3707.95389,10815.6376172485,10815.6376172485,"No censored - no imputation required","Imputed",17,10,9,4,TRUE,7005207,7150081,7150081,NA,"2",1,"N","Ongarue at Taringamotu","Not Reported",1795535,5692904,"RepSite","Whanganui","Whanganui","Lower Ongarue (Whai_2g)","a","NOF.ECOLI.Combined","E","2015 - 2019"
"1482","Ongarue at Cherry Grove","ECOLI",7150081,"2","N",1,2017,53,0,1,NA,9700,173,743.91769089148,3233,26.4150943396226,39.622641509434,10815.6376172485,155,800.2,969.71,2724.8,29.3356718576028,50.9176398993059,17.7770455362519,37.3441175476314,122.43866,267.40149,120.74103,244.92047,1304.42846,7385.4144,393.5349,1301.55742,529.09242,2405.87391,1064.77054,3707.95389,10815.6376172485,10815.6376172485,"No censored - no imputation required","Imputed",17,10,9,4,TRUE,7005207,7150081,7150081,NA,"2",1,"N","Ongarue at Taringamotu","Not Reported",1795535,5692904,"RepSite","Whanganui","Whanganui","Lower Ongarue (Whai_2g)","a","NOF.ECOLI_PC.p95","Poor","2015 - 2019"
"1483","Oroua at Almadale","ECOLI",7232687,"4","N",1,2017,70,0,1,NA,9700,127,440.56840946244,1296,14.2857142857143,28.5714285714286,7270,170,400.5,465,836,20.6178695906802,38.1198021537841,8.73487145399837,22.4945814534421,109.49665,173.50335,120.27655,197.2345,741.89556,5459.60431,230.09201,575.32829,305.98006,779.0282,539.22213,2305.23735,7270,7270,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7035276,7232687,7232687,"CW_Hill_SS","4",1,"N","Oroua at Almadale Slackline","Not Reported",1826347,5549637,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI.G260","B","2015 - 2019"
"1484","Oroua at Almadale","ECOLI",7232687,"4","N",1,2017,70,0,1,NA,9700,127,440.56840946244,1296,14.2857142857143,28.5714285714286,7270,170,400.5,465,836,20.6178695906802,38.1198021537841,8.73487145399837,22.4945814534421,109.49665,173.50335,120.27655,197.2345,741.89556,5459.60431,230.09201,575.32829,305.98006,779.0282,539.22213,2305.23735,7270,7270,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7035276,7232687,7232687,"CW_Hill_SS","4",1,"N","Oroua at Almadale Slackline","Not Reported",1826347,5549637,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI.G540","C","2015 - 2019"
"1485","Oroua at Almadale","ECOLI",7232687,"4","N",1,2017,70,0,1,NA,9700,127,440.56840946244,1296,14.2857142857143,28.5714285714286,7270,170,400.5,465,836,20.6178695906802,38.1198021537841,8.73487145399837,22.4945814534421,109.49665,173.50335,120.27655,197.2345,741.89556,5459.60431,230.09201,575.32829,305.98006,779.0282,539.22213,2305.23735,7270,7270,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7035276,7232687,7232687,"CW_Hill_SS","4",1,"N","Oroua at Almadale Slackline","Not Reported",1826347,5549637,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI.Med","A","2015 - 2019"
"1486","Oroua at Almadale","ECOLI",7232687,"4","N",1,2017,70,0,1,NA,9700,127,440.56840946244,1296,14.2857142857143,28.5714285714286,7270,170,400.5,465,836,20.6178695906802,38.1198021537841,8.73487145399837,22.4945814534421,109.49665,173.50335,120.27655,197.2345,741.89556,5459.60431,230.09201,575.32829,305.98006,779.0282,539.22213,2305.23735,7270,7270,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7035276,7232687,7232687,"CW_Hill_SS","4",1,"N","Oroua at Almadale Slackline","Not Reported",1826347,5549637,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI.p95","E","2015 - 2019"
"1487","Oroua at Almadale","ECOLI",7232687,"4","N",1,2017,70,0,1,NA,9700,127,440.56840946244,1296,14.2857142857143,28.5714285714286,7270,170,400.5,465,836,20.6178695906802,38.1198021537841,8.73487145399837,22.4945814534421,109.49665,173.50335,120.27655,197.2345,741.89556,5459.60431,230.09201,575.32829,305.98006,779.0282,539.22213,2305.23735,7270,7270,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7035276,7232687,7232687,"CW_Hill_SS","4",1,"N","Oroua at Almadale Slackline","Not Reported",1826347,5549637,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI.Combined","E","2015 - 2019"
